Store,Total_Sales,Total_Customers,Total_Open_Days,Avg_Daily_Sales,Avg_Customers,Promo_Days,Sales_per_Customer,Promo_Usage_Rate,Sales_Rank,Best_Assortment,Best_StoreType,Customer_Productivity,Store_Performance_Index
52,4607742,313176,622,7407.945337620578,503.4983922829582,274,14.712947352287532,0.4405144694533762,658,2,3,7407.945337620578,3263.3071101415408
53,4127609,444300,784,5264.807397959184,566.7091836734694,353,9.29013954535224,0.4502551020408163,782,2,0,5264.807397959184,2370.506392193357
54,6207418,573426,785,7907.538853503184,730.4789808917197,354,10.825142215386117,0.45095541401273886,262,2,3,7907.538853503184,3565.947457503347
55,3587212,435992,780,4598.989743589744,558.9641025641025,352,8.227701425714233,0.4512820512820513,934,0,0,4598.989743589744,2075.4415253122947
56,5718290,395919,781,7321.754161331626,506.93854033290654,350,14.443080529098124,0.44814340588988477,350,2,3,7321.754161331626,3281.1958469475917
57,8155633,761161,770,10591.73116883117,988.5207792207792,348,10.714727895937916,0.45194805194805193,71,2,3,10591.73116883117,4786.91226851071
58,3947427,319691,623,6336.158908507223,513.1476725521669,275,12.347632557688518,0.44141252006420545,838,2,0,6336.158908507223,2796.8598713314386
59,4302026,441060,782,5501.312020460358,564.0153452685422,353,9.753833945494945,0.4514066496163683,736,2,0,5501.312020460358,2483.328827650264
60,6265808,556509,780,8033.087179487179,713.473076923077,352,11.259131478556501,0.4512820512820513,252,2,3,8033.087179487179,3625.188060486522
61,3668998,444241,777,4722.005148005148,571.7387387387388,348,8.259026069183168,0.44787644787644787,918,2,0,4722.005148005148,2114.8748925428463
62,5066512,559309,779,6503.86649550706,717.9833119383825,350,9.058520424309283,0.4492939666238768,539,0,0,6503.86649550706,2922.147976158499
63,5453808,500860,784,6956.3877551020405,638.8520408163265,353,10.888887114163639,0.4502551020408163,434,2,2,6956.3877551020405,3132.1490785089545
64,8070070,617633,779,10359.525032092426,792.8536585365854,350,13.066125028941135,0.4492939666238768,74,2,3,10359.525032092426,4654.472094008151
65,3988058,355602,780,5112.8948717948715,455.9,351,11.214948172394982,0.45,828,2,0,5112.8948717948715,2300.8026923076923
66,4750858,407192,777,6114.360360360361,524.056628056628,348,11.667365763570993,0.44787644787644787,618,0,3,6114.360360360361,2738.477999234756
67,6083079,620297,777,7828.930501930502,798.3230373230373,348,9.806720006706465,0.44787644787644787,280,2,0,7828.930501930502,3506.3935838762095
68,5929590,903132,784,7563.252551020408,1151.954081632653,353,6.565585097195094,0.4502551020408163,311,2,0,7563.252551020408,3405.393049120158
69,7362059,924441,781,9426.451984635083,1183.663252240717,350,7.963795417987735,0.44814340588988477,120,2,2,9426.451984635083,4224.40229785183
70,5167478,531054,782,6608.028132992327,679.0971867007672,351,9.730607433519001,0.44884910485933505,505,2,2,6608.028132992327,2966.0075123789093
71,7058595,581851,779,9061.09756097561,746.9204107830552,350,12.131275876470093,0.4492939666238768,151,0,0,9061.09756097561,4071.0964651366667
72,2753676,295838,623,4420.025682182985,474.86035313001605,275,9.30805373211014,0.44141252006420545,1077,0,0,4420.025682182985,1951.0546751209004
73,3588351,387402,784,4576.978316326531,494.13520408163265,353,9.262603187386745,0.4502551020408163,933,2,0,4576.978316326531,2060.8078388562058
74,4855145,662877,776,6256.630154639175,854.2229381443299,348,7.324352783397221,0.4484536082474227,589,0,0,6256.630154639175,2805.8083683175682
75,4722388,503438,784,6023.4540816326535,642.140306122449,353,9.38027721387738,0.4502551020408163,625,2,3,6023.4540816326535,2712.090932163682
76,5606718,578204,623,8999.54735152488,928.0963081861959,275,9.696781758687246,0.44141252006420545,385,2,3,8999.54735152488,3972.512875873743
77,5952383,517673,781,7621.489116517286,662.8335467349552,350,11.498345480641254,0.44814340588988477,302,2,3,7621.489116517286,3415.5200906287455
78,2899629,385990,780,3717.473076923077,494.85897435897436,351,7.512186844218762,0.45,1059,0,0,3717.473076923077,1672.8628846153847
79,4253485,435499,777,5474.240669240669,560.4877734877734,348,9.766922541727995,0.44787644787644787,749,0,0,5474.240669240669,2451.7834657603
80,5933077,450064,779,7616.2734274711165,577.7458279845956,350,13.18274067688151,0.4492939666238768,308,0,3,7616.2734274711165,3421.9456991205275
81,4345098,349252,622,6985.688102893891,561.4983922829582,274,12.441154238200497,0.4405144694533762,720,0,0,6985.688102893891,3077.296688413064
82,7026310,653238,779,9019.653401797175,838.5596919127086,350,10.756125638741164,0.4492939666238768,156,0,0,9019.653401797175,4052.4758544659967
83,3028523,269409,779,3887.7060333761233,345.8395378690629,350,11.241357935332525,0.4492939666238768,1042,0,0,3887.7060333761233,1746.7228648031362
84,10092722,1084610,779,12955.997432605905,1392.3106546854942,350,9.30539272180784,0.4492939666238768,32,2,0,12955.997432605905,5821.051478064271
85,6850652,956508,942,7272.454352441614,1015.4012738853503,360,7.162148147218842,0.3821656050955414,174,0,1,7272.454352441614,2779.281918130553
86,3652727,470659,778,4695.021850899743,604.9601542416452,349,7.760877832995863,0.448586118251928,922,0,0,4695.021850899743,2106.1216272030983
87,4598287,578159,784,5865.161989795918,737.4477040816327,353,7.9533259881797225,0.4502551020408163,663,0,0,5865.161989795918,2640.8191102014785
88,4699058,478523,780,6024.433333333333,613.4910256410257,351,9.819920881545924,0.45,633,0,0,6024.433333333333,2710.995
89,3714173,388237,622,5971.33922829582,624.1752411575562,274,9.56676720662894,0.4405144694533762,902,0,0,5971.33922829582,2630.4613320788662
90,6548246,822393,778,8416.768637532134,1057.060411311054,350,7.962429154917418,0.4498714652956298,214,0,0,8416.768637532134,3786.4640400208827
91,4324904,477638,778,5559.002570694088,613.9305912596401,349,9.054773698910052,0.448586118251928,727,0,2,5559.002570694088,2493.69138454015
92,4671417,426158,779,5996.684210526316,547.0577663671373,350,10.961701997850563,0.4492939666238768,638,0,2,5996.684210526316,2694.2740355381393
93,4646872,470169,779,5965.175866495507,603.5545571245186,350,9.883407880995982,0.4492939666238768,647,0,0,5965.175866495507,2680.1175266667874
94,5547371,498672,779,7121.14377406932,640.1437740693196,350,11.124288109218083,0.4492939666238768,397,2,3,7121.14377406932,3199.486933150529
95,5958064,658101,780,7638.54358974359,843.7192307692308,352,9.053418852121483,0.4512820512820513,301,0,0,7638.54358974359,3447.137619986851
96,4037973,423364,780,5176.888461538461,542.774358974359,352,9.537827968367646,0.4512820512820513,809,0,0,5176.888461538461,2336.2368441814597
97,5228649,537288,780,6703.3961538461535,688.8307692307692,352,9.73155737704918,0.4512820512820513,494,2,3,6703.3961538461535,3025.1223668639054
98,3980584,351785,779,5109.863928112965,451.5853658536585,350,11.315388660687637,0.4492939666238768,829,2,3,5109.863928112965,2295.8310331701387
99,3191184,289554,622,5130.520900321543,465.5209003215434,274,11.0210323462981,0.4405144694533762,1021,2,2,5130.520900321543,2260.0686924246024
100,4826434,415849,606,7964.412541254125,686.2194719471947,265,11.60621764149968,0.4372937293729373,595,0,3,7964.412541254125,3482.7876624296096
101,5856384,609290,784,7469.877551020408,777.155612244898,353,9.61181703293998,0.4502551020408163,320,2,3,7469.877551020408,3363.350478967097
102,5444156,808768,771,7061.162127107653,1048.9857328145265,345,6.731418651578697,0.4474708171206226,437,0,0,7061.162127107653,3159.663986838055
103,2959073,266040,631,4689.497622820919,421.6164817749604,281,11.122662005713426,0.44532488114104596,1053,2,3,4689.497622820919,2088.3499714939435
104,7939205,1028904,784,10126.536989795919,1312.3775510204082,353,7.716176630667196,0.4502551020408163,83,0,0,10126.536989795919,4559.5249456606625
105,3348791,388347,754,4441.3673740053055,515.0490716180371,338,8.623192660172474,0.4482758620689655,987,2,0,4441.3673740053055,1990.957788347206
106,6718335,639877,775,8668.81935483871,825.6477419354839,351,10.499416294069016,0.4529032258064516,192,0,0,8668.81935483871,3926.136249739854
107,5751886,748964,784,7336.589285714285,955.3112244897959,353,7.679789682815195,0.4502551020408163,334,0,0,7336.589285714285,3303.336757470845
108,6863994,527942,622,11035.360128617363,848.7813504823151,274,13.001416822302449,0.4405144694533762,171,2,3,11035.360128617363,4861.235812284819
109,5068030,582023,784,6464.323979591837,742.3762755102041,353,8.707611211240794,0.4502551020408163,538,2,0,6464.323979591837,2910.5948530560186
110,3554993,460552,784,4534.429846938776,587.4387755102041,353,7.718982872726641,0.4502551020408163,946,2,0,4534.429846938776,2041.6501734303417
111,5288733,466784,781,6771.745198463508,597.6747759282971,350,11.330150562144375,0.44814340588988477,479,2,3,6771.745198463508,3034.7129570579104
112,4883888,608379,784,6229.448979591837,775.9936224489796,353,8.02770641327199,0.4502551020408163,584,0,0,6229.448979591837,2804.8411859641815
113,4477826,434973,622,7199.077170418006,699.3135048231511,274,10.294491842022378,0.4405144694533762,692,2,3,7199.077170418006,3171.2976602806007
114,4191703,476770,784,5346.559948979592,608.125,354,8.7918765861946,0.45153061224489793,763,0,2,5346.559948979592,2414.1354871668054
115,4585191,343372,622,7371.689710610933,552.0450160771704,274,13.353421362254348,0.4405144694533762,667,2,3,7371.689710610933,3247.3359818446875
116,5711629,593708,783,7294.54533844189,758.2477650063857,353,9.620266191461122,0.4508301404853129,351,0,0,7294.54533844189,3288.6008997062413
117,3024044,383319,779,3881.956354300385,492.06546854942235,350,7.889105418724352,0.4492939666238768,1044,0,0,3881.956354300385,1744.1395686843837
118,6085216,528277,782,7781.606138107417,675.5460358056266,352,11.518987198004078,0.45012787723785164,279,2,3,7781.606138107417,3502.717852447328
119,4707987,521332,784,6005.085459183673,664.9642857142857,353,9.030688697413549,0.4502551020408163,631,2,0,6005.085459183673,2703.8203661885673
120,5552990,498431,781,7110.102432778489,638.1959026888604,350,11.140940270569045,0.44814340588988477,394,0,3,7110.102432778489,3186.3455204513075
121,3473474,393208,780,4453.171794871795,504.1128205128205,352,8.833680901711054,0.4512820512820513,964,0,0,4453.171794871795,2009.6365023011178
122,5718883,702496,885,6462.014689265537,793.780790960452,354,8.140805072199699,0.4,348,2,0,6462.014689265537,2584.805875706215
123,6450589,737109,768,8399.204427083334,959.77734375,346,8.751200975703728,0.4505208333333333,232,0,0,8399.204427083334,3784.016577826606
124,3446410,409507,779,4424.1463414634145,525.6829268292682,350,8.415997772931842,0.4492939666238768,971,0,0,4424.1463414634145,1987.74225868061
125,9280089,1233970,784,11836.848214285714,1573.9413265306123,353,7.520514275063413,0.4502551020408163,39,0,0,11836.848214285714,5329.601300564868
126,5069540,423630,779,6507.75353016688,543.8125802310655,350,11.966905082265184,0.4492939666238768,537,0,3,6507.75353016688,2923.8943973792148
127,3263370,411023,623,5238.154093097914,659.7479935794543,275,7.939628682579807,0.44141252006420545,1009,0,3,5238.154093097914,2312.1867987189826
128,5822099,464447,781,7454.672215108835,594.6824583866837,350,12.535550880940129,0.44814340588988477,327,2,3,7454.672215108835,3340.7621962715652
129,5727451,724918,622,9208.120578778135,1165.4630225080386,274,7.900826024460698,0.4405144694533762,344,0,0,9208.120578778135,4056.3103514231652
130,3999550,448095,781,5121.062740076824,573.7451984635084,350,8.925674243185039,0.44814340588988477,825,0,2,5121.062740076824,2294.970498113814
131,4109540,435381,779,5275.404364569961,558.8973042362003,350,9.43895117150266,0.4492939666238768,786,0,2,5275.404364569961,2370.20735250255
132,3908185,362256,622,6283.255627009647,582.4051446945338,274,10.788461750806059,0.4405144694533762,846,2,3,6283.255627009647,2767.865018972095
133,5057788,593403,782,6467.759590792839,758.8273657289003,353,8.52336102109359,0.4514066496163683,542,0,0,6467.759590792839,2919.5896874039286
134,3705099,387764,784,4725.8915816326535,494.5969387755102,353,9.555036052856892,0.4502551020408163,905,0,0,4725.8915816326535,2127.856796321845
135,4648837,421569,781,5952.416133162612,539.7810499359795,350,11.027464068752684,0.44814340588988477,645,0,3,5952.416133162612,2667.536039189391
136,3414045,263716,622,5488.818327974276,423.98070739549837,274,12.945915302825767,0.4405144694533762,976,2,0,5488.818327974276,2417.9038936735556
137,5147039,595429,622,8274.98231511254,957.2813504823151,274,8.6442531351345,0.4405144694533762,511,0,0,8274.98231511254,3645.249444277871
138,5721236,557266,780,7334.917948717949,714.4435897435898,352,10.266615942835198,0.4512820512820513,346,2,0,7334.917948717949,3310.116817882972
139,4020701,319593,622,6464.1495176848875,513.8151125401929,274,12.580691692246075,0.4405144694533762,815,0,0,6464.1495176848875,2847.5513952502556
140,5833328,752581,781,7469.049935979513,963.6120358514725,350,7.751096559705865,0.44814340588988477,323,2,0,7469.049935979513,3347.205477071485
141,4305156,475445,777,5540.741312741313,611.8983268983269,348,9.055003207521375,0.44787644787644787,734,2,2,5540.741312741313,2481.567537752866
142,3586489,443045,779,4603.965340179718,568.7355584082156,350,8.095089663578191,0.4492939666238768,935,0,0,4603.965340179718,2068.5338498881915
143,4919195,453411,779,6314.756097560976,582.0423620025674,350,10.849306699661014,0.4492939666238768,574,0,3,6314.756097560976,2837.1818153354834
144,4823879,455556,625,7718.2064,728.8896,274,10.588992352202583,0.4384,598,2,0,7718.2064,3383.66168576
145,5072096,770814,608,8342.263157894737,1267.7861842105262,269,6.580181470497422,0.44243421052631576,535,0,0,8342.263157894737,3690.9026142659277
146,6086195,547187,779,7812.83055198973,702.4223363286264,350,11.122696628392122,0.4492939666238768,278,2,3,7812.83055198973,3510.2576292636786
147,6397583,685221,779,8212.558408215662,879.6161745827984,350,9.336525004341665,0.4492939666238768,234,2,3,8212.558408215662,3689.8529433574863
148,6772949,642470,784,8638.96556122449,819.4770408163265,353,10.542047099475463,0.4502551020408163,189,0,0,8638.96556122449,3889.7383202962305
149,3462975,302428,622,5567.483922829582,486.21864951768487,274,11.450576666181703,0.4405144694533762,966,0,3,5567.483922829582,2452.557226455475
150,6599117,643191,784,8417.24107142857,820.3966836734694,353,10.259964769407532,0.4502551020408163,209,2,2,8417.24107142857,3789.905737518221
151,5269496,508566,780,6755.764102564102,652.0076923076923,351,10.361479139384072,0.45,480,2,3,6755.764102564102,3040.0938461538462
152,4317171,484073,779,5541.939666238768,621.403080872914,350,8.918429658336656,0.4492939666238768,728,0,0,5541.939666238768,2489.96005543462
153,5505047,493792,779,7066.812580231065,633.8793324775353,350,11.148513949193182,0.4492939666238768,411,0,0,7066.812580231065,3175.076255559529
154,6824045,575933,781,8737.57362355954,737.4302176696543,350,11.848678578931924,0.44814340588988477,182,2,3,8737.57362355954,3915.686002875594
155,4290509,411372,623,6886.852327447833,660.3081861958267,275,10.429754577365498,0.44141252006420545,744,0,3,6886.852327447833,3039.9428411687863
156,5443980,557269,782,6961.611253196931,712.6202046035805,353,9.769034344275386,0.4514066496163683,438,0,0,6961.611253196931,3142.5176117372334
157,7574054,771078,779,9722.790757381257,989.8305519897305,350,9.82268201141778,0.4492939666238768,99,2,0,9722.790757381257,4368.391226037792
158,6354198,405068,779,8156.865211810013,519.9845956354301,350,15.686743954101534,0.4492939666238768,240,2,3,8156.865211810013,3664.8303262304294
159,4827383,433591,623,7748.60834670947,695.9727126805778,275,11.133494468289241,0.44141252006420545,594,0,3,7748.60834670947,3420.332737311564
160,4475644,436723,781,5730.658130601792,559.1843790012804,350,10.248244310466818,0.44814340588988477,696,2,3,5730.658130601792,2568.156652638447
161,5649774,638171,779,7252.598202824133,819.2182284980745,350,8.85307229566997,0.4492939666238768,373,2,0,7252.598202824133,3258.5486148760547
162,6066911,433998,781,7768.131882202305,555.6952624839948,350,13.979122023603795,0.44814340588988477,281,2,3,7768.131882202305,3481.237079091942
163,5722186,682711,784,7298.706632653061,870.8048469387755,353,8.381564087879058,0.4502551020408163,345,0,0,7298.706632653061,3286.279899651187
164,3868966,394629,623,6210.218298555377,633.4333868378812,275,9.80405900225275,0.44141252006420545,860,0,0,6210.218298555377,2741.2681093141714
165,2486031,262891,622,3996.8344051446948,422.65434083601286,274,9.456508591013005,0.4405144694533762,1099,0,0,3996.8344051446948,1760.6633874753156
166,4533193,636652,779,5819.24646983312,817.2682926829268,350,7.120362458611612,0.4492939666238768,677,2,0,5819.24646983312,2614.5523291933146
167,7250708,823044,780,9295.779487179487,1055.1846153846154,351,8.809623786820632,0.45,132,0,0,9295.779487179487,4183.100769230769
168,5840824,568177,777,7517.148005148005,731.2445302445302,348,10.27993741386927,0.44787644787644787,322,0,0,7517.148005148005,3366.7535467072144
169,5529699,526944,766,7218.92819843342,687.9164490861618,343,10.49390257788304,0.44778067885117495,405,0,3,7218.92819843342,3232.4965692724063
170,3902355,423591,779,5009.441591784339,543.7625160462131,350,9.212554091092587,0.4492939666238768,848,0,0,5009.441591784339,2250.711883343413
171,6566306,675584,779,8429.147625160462,867.2451861360719,350,9.71945161519515,0.4492939666238768,212,0,0,8429.147625160462,3787.1651717665745
172,4342600,540457,622,6981.672025723473,868.9019292604502,274,8.035051817258358,0.4405144694533762,723,0,0,6981.672025723473,3075.527548309054
173,6454502,789125,784,8232.783163265307,1006.5369897959183,353,8.179315064153334,0.4502551020408163,231,0,0,8232.783163265307,3706.852623255935
174,3692528,298263,622,5936.540192926045,479.5225080385852,274,12.38010748902814,0.4405144694533762,909,0,0,5936.540192926045,2615.1318534754605
175,4535086,541515,784,5784.548469387755,690.7079081632653,353,8.374811408732906,0.4502551020408163,676,0,2,5784.548469387755,2604.5224613442315
176,4111700,492327,779,5278.177150192554,631.9987163029525,350,8.351563087135176,0.4492939666238768,785,0,0,5278.177150192554,2371.4531483535225
177,3115395,378516,780,3994.096153846154,485.2769230769231,351,8.23055035982627,0.45,1029,0,0,3994.096153846154,1797.3432692307692
178,7870142,720381,780,10089.92564102564,923.5653846153846,352,10.924971646947935,0.4512820512820513,86,0,3,10089.92564102564,4553.402340565417
179,5683019,744593,779,7295.274711168165,955.8318356867779,350,7.632383060275882,0.4492939666238768,359,2,0,7295.274711168165,3277.7229125916015
180,5660528,661099,784,7220.061224489796,843.2385204081633,353,8.562300048858038,0.4502551020408163,367,0,3,7220.061224489796,3250.869403373594
181,3976421,416656,623,6382.698234349919,668.7897271268058,275,9.54365471756077,0.44141252006420545,832,0,0,6382.698234349919,2817.4029124337526
182,4142935,326297,781,5304.654289372599,417.79385403329064,350,12.696822220247197,0.44814340588988477,781,2,3,5304.654289372599,2377.245840307823
183,2945836,367233,611,4821.335515548281,601.0360065466449,270,8.021708288743113,0.44189852700491,1055,0,0,4821.335515548281,2130.541062517244
184,5123769,462834,777,6594.2972972972975,595.6679536679536,349,11.070424817537173,0.4491634491634492,524,2,3,6594.2972972972975,2961.917318863265
185,5621764,427459,784,7170.617346938776,545.2283163265306,353,13.151586467941955,0.4502551020408163,378,2,3,7170.617346938776,3228.607045241566
186,2353548,237019,622,3783.83922829582,381.0594855305466,274,9.929786219670152,0.4405144694533762,1107,0,0,3783.83922829582,1666.8359301496055
187,4923311,608155,784,6279.7334183673465,775.7079081632653,353,8.095487170211541,0.4502551020408163,571,2,0,6279.7334183673465,2827.482011076114
188,3884836,341389,779,4986.952503209242,438.2400513478819,350,11.37949963238417,0.4492939666238768,852,0,3,4986.952503209242,2240.607671531752
189,6826322,652121,779,8762.929396662388,837.1258023106546,350,10.467876360368704,0.4492939666238768,181,0,3,8762.929396662388,3937.1313078714197
190,4477750,408097,622,7198.954983922829,656.104501607717,274,10.972268847847449,0.4405144694533762,693,0,0,7198.954983922829,3171.2438353615034
191,4253819,444020,622,6838.9372990353695,713.8585209003215,274,9.580241880996352,0.4405144694533762,748,0,0,6838.9372990353695,3012.6508359094714
192,5608471,401447,622,9016.834405144695,645.4131832797427,274,13.970638714450475,0.4405144694533762,382,2,3,9016.834405144695,3972.046024131264
193,4166302,607349,777,5362.036036036036,781.6589446589446,348,6.859815361513726,0.44787644787644787,772,0,0,5362.036036036036,2401.529653205329
194,3752516,324514,777,4829.492921492922,417.6499356499356,348,11.563494949370444,0.44787644787644787,893,2,3,4829.492921492922,2163.0161347226986
195,8345567,1011485,779,10713.17971758665,1298.4403080872914,350,8.250806487491165,0.4492939666238768,60,2,0,10713.17971758665,4813.36701046897
196,4079175,544939,782,5216.3363171355495,696.8529411764706,353,7.485562604254788,0.4514066496163683,803,0,2,5216.3363171355495,2354.688900190344
197,5367788,660348,784,6846.668367346939,842.280612244898,353,8.128726065650232,0.4502551020408163,461,0,2,6846.668367346939,3082.747364379425
198,2268273,264690,782,2900.6048593350383,338.4782608695652,353,8.569545506063697,0.4514066496163683,1113,0,0,2900.6048593350383,1309.3523214133868
199,6197488,486550,779,7955.697047496791,624.5827984595635,350,12.737617922104613,0.4492939666238768,264,2,3,7955.697047496791,3574.446683727698
200,6021315,753802,779,7729.5442875481385,967.6534017971759,350,7.987926537738026,0.4492939666238768,289,0,0,7729.5442875481385,3472.8376131474306
